customer_id,name,gender,past_3_years_bike_related_purchases,DOB,age,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
486,Prudi Edon,Female,0,30-12-1955,69,Technical Writer,Manufacturing,Affluent Customer,N,Yes,15
577,Nadean Fielding,Female,41,08-04-1956,69,NA,Property,Mass Customer,N,Yes,19
615,Rebeca Martonfi,Female,93,11-05-1956,69,Human Resources Assistant I,Property,Mass Customer,N,No,19
701,Ransell Ruler,Male,18,01-05-1956,69,Food Chemist,Health,Mass Customer,N,Yes,8
722,Stewart Brosoli,Male,69,17-03-1956,69,Marketing Manager,IT,Mass Customer,N,No,5
767,Gustav Kos,Male,70,16-12-1955,70,Budget/Accounting Analyst II,Manufacturing,High Net Worth,N,No,11
968,Wayne Woodfin,Male,96,16-06-1955,70,Accountant IV,IT,High Net Worth,N,Yes,16
1046,Shir Clevely,Female,0,23-07-1955,70,Budget/Accounting Analyst II,n/a,Affluent Customer,N,No,11
1077,Sheba Este,Female,8,11-10-1955,70,NA,Telecommunications,Mass Customer,N,Yes,18
1201,Stephani Mellhuish,Female,42,28-11-1955,70,NA,Manufacturing,Mass Customer,N,No,10
1306,Doyle Oleksinski,Male,13,12-04-1956,69,Occupational Therapist,Health,Affluent Customer,N,Yes,13
1319,Trevor St. Paul,Male,20,18-07-1955,70,NA,Entertainment,Mass Customer,N,Yes,12
1421,Mallorie Gouth,Female,74,14-04-1956,69,Senior Editor,Property,Mass Customer,N,No,20
1452,Zachery Hamber,Male,99,31-12-1955,69,Safety Technician III,Retail,Mass Customer,N,No,20
1553,Vanna Matts,Female,68,31-05-1956,69,Administrative Assistant IV,Retail,High Net Worth,N,No,7
1616,Shamus Attenbrough,Male,75,16-08-1955,70,Media Manager II,Retail,High Net Worth,N,Yes,19
1662,Xenia Willmett,Female,40,01-04-1956,69,Electrical Engineer,Manufacturing,High Net Worth,N,No,11
1675,Luke Wombwell,Male,76,14-08-1955,70,Engineer I,Manufacturing,Affluent Customer,N,Yes,14
1702,Bryn Whisby,Male,14,03-04-1956,69,Research Nurse,Health,Mass Customer,N,No,17
1745,Leigha Clawson,Female,37,23-08-1955,70,Chief Design Engineer,Financial Services,Mass Customer,N,Yes,6
1800,Dianemarie Hatherall,Female,30,23-09-1955,70,Executive Secretary,Agriculture,High Net Worth,N,No,11
2052,Ganny Sealeaf,Male,5,30-11-1955,70,NA,Retail,Mass Customer,N,Yes,8
2085,Carolynn Samsin,Female,83,03-05-1956,69,Pharmacist,Health,Mass Customer,N,No,11
2193,Roldan Carrington,Male,66,16-12-1955,70,Developer III,n/a,Mass Customer,N,Yes,6
2226,Hedvig Flatt,Female,10,22-07-1955,70,Biostatistician II,Entertainment,Mass Customer,N,No,11
2228,Rosita Soppeth,Female,12,09-03-1956,69,Geological Engineer,Manufacturing,High Net Worth,N,No,9
2254,Ann Beek,Female,36,21-10-1955,70,Programmer Analyst II,Health,Affluent Customer,N,No,18
2380,Merissa Milella,Female,44,09-04-1956,69,Technical Writer,Retail,Mass Customer,N,Yes,15
2408,Celestia ,Female,38,10-10-1955,70,VP Marketing,Health,Mass Customer,N,No,16
2485,Ringo Parkyn,Male,93,27-07-1955,70,Help Desk Technician,n/a,Mass Customer,N,Yes,12
2747,Anna-diane Crumpe,Female,5,23-09-1955,70,Software Test Engineer III,n/a,Affluent Customer,N,No,11
2818,Frazier Streak,Male,82,08-03-1956,69,Software Test Engineer I,n/a,Affluent Customer,N,No,7
2867,Lem Meegan,Male,53,19-10-1955,70,Sales Associate,n/a,High Net Worth,N,No,12
2908,Tiffy Feenan,Female,42,21-09-1955,70,Social Worker,Health,Affluent Customer,N,Yes,11
2913,Padraic Bonnar,Male,44,11-07-1955,70,VP Quality Control,IT,Affluent Customer,N,Yes,14
2972,Deena Burnsides,Female,11,18-03-1956,69,NA,n/a,High Net Worth,N,No,17
3017,Jason De Lorenzo,Male,88,05-10-1955,70,Operator,Financial Services,Affluent Customer,N,No,7
3129,Leola Mandrier,Female,44,25-09-1955,70,Analog Circuit Design manager,Property,High Net Worth,N,Yes,11
3185,Duky Crichley,Male,25,18-01-1956,69,Senior Financial Analyst,Financial Services,Mass Customer,N,No,10
3291,Cindy Eakin,Female,33,21-01-1956,69,Staff Accountant II,Manufacturing,Mass Customer,N,No,13
3330,Tina Pristnor,Female,70,06-11-1955,70,NA,Health,Mass Customer,N,Yes,18
3568,Berthe Griniov,Female,13,15-09-1955,70,Nurse,Retail,Affluent Customer,N,No,5
3599,Lane Maguire,Male,11,27-02-1956,69,Physical Therapy Assistant,n/a,High Net Worth,N,Yes,6
3748,Maurise Beal,Male,82,10-01-1956,69,Staff Scientist,n/a,Affluent Customer,N,Yes,18
3809,Angelita Itzcovichch,Female,44,08-09-1955,70,VP Quality Control,Manufacturing,Affluent Customer,N,No,11
3845,Bonnie Goracci,Female,72,07-06-1955,70,Legal Assistant,Manufacturing,Mass Customer,N,Yes,5
3846,Nariko McClymont,Female,57,12-03-1956,69,Geologist III,Manufacturing,Mass Customer,N,No,15
3859,Boonie Searle,Male,81,20-03-1956,69,Software Consultant,Manufacturing,Mass Customer,N,No,14
3899,Rex Gittings,Male,23,28-12-1955,69,Research Associate,Health,Affluent Customer,N,Yes,6
55,Linc Jillions,Male,48,24-09-1956,69,Paralegal,Financial Services,Affluent Customer,N,Yes,7
102,Langsdon Tranfield,Male,51,27-11-1956,69,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16
200,Hube Weald,Male,7,04-02-1957,68,Physical Therapy Assistant,Property,Affluent Customer,N,Yes,19
298,Maurise Lenglet,Male,69,15-08-1956,69,Engineer I,Manufacturing,High Net Worth,N,No,9
299,Corabelle Hartnell,Female,80,15-09-1956,69,Budget/Accounting Analyst I,Financial Services,Mass Customer,N,Yes,7
300,Malachi Hadcroft,Male,88,22-06-1956,69,Clinical Specialist,Health,Mass Customer,N,No,9
423,Orville Akerman,Male,43,08-11-1956,69,Senior Quality Engineer,n/a,Mass Customer,N,No,9
538,Millicent Wiffler,Female,33,21-10-1956,69,Chemical Engineer,Manufacturing,Mass Customer,N,Yes,5
575,Etan Poyle,Male,64,10-06-1956,69,VP Accounting,Financial Services,High Net Worth,N,Yes,11
647,Stanislas Baildon,Male,61,23-01-1957,68,Assistant Manager,Retail,Mass Customer,N,Yes,10
728,Winthrop Corser,Male,60,03-10-1956,69,VP Accounting,Financial Services,Mass Customer,N,Yes,8
816,Donni Boor,Female,71,10-01-1957,68,Product Engineer,Manufacturing,Mass Customer,N,No,15
837,Derick Fasler,Male,4,11-01-1957,68,Internal Auditor,n/a,Mass Customer,N,Yes,13
1009,Nolie Orring,Female,16,09-05-1957,68,Research Associate,Manufacturing,High Net Worth,N,Yes,13
1037,Sissie Rielly,Female,95,08-08-1956,69,Human Resources Assistant II,Financial Services,Mass Customer,N,No,10
1072,Curt Petrello,Male,60,01-06-1957,68,Senior Cost Accountant,Financial Services,High Net Worth,N,Yes,8
1131,Sigmund Barkworth,Male,16,07-08-1956,69,VP Marketing,n/a,Mass Customer,N,No,15
1426,Allyn Carswell,Female,72,23-08-1956,69,Financial Advisor,Financial Services,Mass Customer,N,No,17
1458,Ashley Behneke,Male,40,22-10-1956,69,Account Representative IV,Telecommunications,Affluent Customer,N,No,11
1461,Earl Skeels,Male,71,04-01-1957,68,NA,Retail,Mass Customer,N,Yes,9
1546,Natalya Moscone,Female,22,28-10-1956,69,Compensation Analyst,Financial Services,Mass Customer,N,Yes,8
1671,Nerty Renak,Female,69,23-01-1957,68,Account Executive,Property,Mass Customer,N,Yes,14
1748,Skell Oxenden,Male,83,07-06-1956,69,Recruiter,Manufacturing,Mass Customer,N,Yes,10
1858,Gabriella ,Female,30,26-04-1957,68,Senior Sales Associate,Manufacturing,High Net Worth,N,Yes,11
1987,Jacobo Rosenblum,Male,56,08-06-1956,69,Research Associate,Health,Affluent Customer,N,No,8
1988,Kelwin Goldsmith,Male,27,15-04-1957,68,Recruiting Manager,Property,Mass Customer,N,No,8
2068,Wandie Nare,Female,23,08-08-1956,69,Account Representative I,n/a,High Net Worth,N,No,8
2079,Eda ,Female,49,29-07-1956,69,Account Executive,n/a,High Net Worth,N,No,11
2206,Osmond McCamish,Male,60,25-05-1957,68,Structural Engineer,Financial Services,Affluent Customer,N,No,14
2214,Farlay Plevey,Male,52,26-03-1957,68,NA,Manufacturing,High Net Worth,N,Yes,8
2282,Dominic Gregoletti,Male,81,25-02-1957,68,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,7
2304,Shelia Bellew,Female,65,01-06-1957,68,NA,n/a,Mass Customer,N,Yes,11
2347,L;urette Annott,Female,79,04-03-1957,68,Programmer Analyst I,n/a,High Net Worth,N,No,11
2367,Lorne Sabin,Male,40,22-05-1957,68,Electrical Engineer,Manufacturing,Mass Customer,N,Yes,16
2434,Lenci Soars,Male,40,17-11-1956,69,Environmental Specialist,n/a,Affluent Customer,N,No,18
2446,Lovell Kiss,Male,33,07-09-1956,69,NA,Retail,Affluent Customer,N,No,17
2476,Hal Braddon,Male,13,25-09-1956,69,Administrative Officer,Property,High Net Worth,N,No,17
2663,Royce Pietrowicz,Male,69,01-08-1956,69,Environmental Tech,Health,Mass Customer,N,Yes,19
2676,Stinky Marlen,Male,33,21-01-1957,68,Product Engineer,Retail,Mass Customer,N,Yes,12
2734,Hetty Thormann,Female,35,07-03-1957,68,NA,Manufacturing,High Net Worth,N,No,10
2774,Danella Chevers,Female,50,28-07-1956,69,NA,Manufacturing,Mass Customer,N,No,14
2857,Alanna Geram,Female,9,05-04-1957,68,Biostatistician I,Manufacturing,Mass Customer,N,Yes,17
3002,Tracey Verdun,Male,62,06-12-1956,69,Paralegal,Financial Services,Mass Customer,N,Yes,16
3028,Leandra Schubert,Female,67,07-07-1956,69,General Manager,Manufacturing,High Net Worth,N,No,20
3034,Mara Tofanini,Female,54,09-09-1956,69,Web Designer IV,Manufacturing,Mass Customer,N,Yes,18
3248,Alastair Van der Beken,Male,32,15-05-1957,68,Programmer Analyst II,n/a,Affluent Customer,N,No,5
3270,Tracey Redsull,Male,47,12-04-1957,68,Administrative Officer,Financial Services,Mass Customer,N,Yes,5
3302,Faulkner McKiernan,Male,17,30-10-1956,69,Compensation Analyst,Financial Services,Affluent Customer,N,No,19
3348,Amanda Hazeltine,Female,93,08-11-1956,69,Pharmacist,Health,High Net Worth,N,Yes,6
3457,Robbi Springthorpe,Female,13,26-09-1956,69,NA,Manufacturing,Mass Customer,N,No,16
3462,Jehanna Sparhawk,Female,96,03-03-1957,68,Registered Nurse,Health,High Net Worth,N,No,17
3483,Emlyn Burnel,Male,19,02-10-1956,69,Senior Sales Associate,Health,High Net Worth,N,Yes,15
3486,Reece Crewther,Male,67,25-07-1956,69,Business Systems Development Analyst,Manufacturing,Mass Customer,N,No,18
3578,Dorella Sineath,Female,57,27-10-1956,69,Staff Accountant IV,Property,Mass Customer,N,No,12
3606,Jamima Wainscot,Female,52,09-02-1957,68,Graphic Designer,n/a,High Net Worth,N,No,15
3666,Mathew Marousek,Male,56,27-03-1957,68,Statistician II,Health,High Net Worth,N,No,10
3683,Lorain Maliphant,Female,67,30-03-1957,68,Chief Design Engineer,n/a,Mass Customer,N,Yes,11
3690,Sheela Nutton,Female,86,11-05-1957,68,Chemical Engineer,Manufacturing,Mass Customer,N,No,17
3719,Dorette Attridge,Female,26,19-10-1956,69,Sales Representative,Retail,Mass Customer,N,No,6
3764,Nonie Newson,Female,29,06-05-1957,68,Cost Accountant,Financial Services,Mass Customer,N,Yes,15
3789,Conn Westberg,Male,52,08-08-1956,69,Civil Engineer,Manufacturing,Mass Customer,N,Yes,6
3793,Shannen Pitcock,Female,49,12-05-1957,68,Engineer IV,n/a,Affluent Customer,N,Yes,15
3795,Taylor Dollimore,Male,88,24-06-1956,69,Systems Administrator III,Agriculture,High Net Worth,N,Yes,5
3817,Tuckie ,Male,65,02-05-1957,68,VP Product Management,Manufacturing,High Net Worth,N,No,13
3872,Wilma Budcock,Female,14,15-05-1957,68,Sales Representative,Retail,High Net Worth,N,Yes,12
3956,Hector Poundsford,Male,54,17-01-1957,68,Administrative Assistant III,Retail,Mass Customer,N,Yes,12
3964,Aubrey Souten,Female,28,21-07-1956,69,Sales Associate,Manufacturing,High Net Worth,N,No,5
33,Ernst Hacon,Male,44,25-06-1957,68,Product Engineer,n/a,Affluent Customer,N,Yes,11
84,Rich Mathiasen,Male,78,07-02-1958,67,Accountant III,n/a,Mass Customer,N,Yes,14
85,Kane Tixall,Male,1,21-05-1958,67,Analyst Programmer,n/a,Mass Customer,N,No,8
121,Myles Pauncefort,Male,82,02-10-1957,68,Graphic Designer,Manufacturing,Mass Customer,N,No,15
143,Kendall Figg,Male,19,01-09-1957,68,Operator,Agriculture,Mass Customer,N,Yes,11
154,Faydra Dulieu,Female,90,13-02-1958,67,Junior Executive,n/a,Mass Customer,N,No,11
169,Alfy Bruhnke,Male,20,19-10-1957,68,Data Coordiator,Telecommunications,High Net Worth,N,Yes,5
209,Udall Bellard,Male,9,28-08-1957,68,Analog Circuit Design manager,n/a,Affluent Customer,N,Yes,6
214,Jeramie Cellier,Male,82,29-11-1957,68,Food Chemist,Health,Mass Customer,N,No,6
311,Jaimie Halms,Female,86,16-08-1957,68,Internal Auditor,Health,High Net Worth,N,No,12
312,Garek Prattin,Male,44,17-03-1958,67,Desktop Support Technician,Financial Services,Affluent Customer,N,Yes,6
315,Lisa Odlin,Female,67,16-04-1958,67,Chief Design Engineer,Manufacturing,Affluent Customer,N,No,12
338,Hilliary Littrell,Female,33,14-03-1958,67,NA,Health,Mass Customer,N,No,19
343,Nicole Johananoff,Female,76,14-08-1957,68,Recruiter,Property,Affluent Customer,N,No,13
413,Simone Denys,Male,79,22-12-1957,68,VP Quality Control,n/a,High Net Worth,N,Yes,19
436,Erwin Pendre,Male,75,24-12-1957,68,Internal Auditor,IT,Mass Customer,N,No,18
464,Karel Dimelow,Female,32,23-03-1958,67,NA,n/a,Mass Customer,N,Yes,10
516,Craggy Loadsman,Male,23,07-01-1958,67,Environmental Tech,Financial Services,Mass Customer,N,No,20
556,Oralia Gifford,Female,69,08-09-1957,68,Junior Executive,n/a,Mass Customer,N,No,11
568,Quinn Fulks,Male,32,15-12-1957,68,VP Sales,Manufacturing,Mass Customer,N,No,13
571,Ramonda McKellar,Female,30,15-02-1958,67,Assistant Media Planner,Entertainment,Mass Customer,N,No,6
610,Hyatt Craine,Male,45,16-03-1958,67,Help Desk Technician,Financial Services,Mass Customer,N,Yes,15
828,Darda Kernocke,Female,93,14-12-1957,68,NA,Health,Mass Customer,N,Yes,20
1350,Bing Vicar,Male,10,30-09-1957,68,Staff Scientist,Retail,Mass Customer,N,Yes,8
1383,Coriss Casarino,Female,81,29-10-1957,68,Software Consultant,IT,Affluent Customer,N,No,8
1385,Melesa Priddy,Female,39,17-08-1957,68,Cost Accountant,Financial Services,Mass Customer,N,No,16
1395,Jandy Pennazzi,Female,83,23-12-1957,68,VP Product Management,n/a,High Net Worth,N,Yes,16
